Agency Name,State Name [District] Latest available year,County Name [District] 2014-15,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2014-15,Agency Type [District] 2014-15,Urban-centric Locale [District] 2014-15,Agency Charter Status [District] 2014-15,Lowest Grade Offered [District] 2014-15,Highest Grade Offered [District] 2014-15,"Total Students, All Grades (Excludes AE) [District] 2014-15",Full-Time Equivalent (FTE) Teachers [District] 2014-15,Pupil/Teacher Ratio [District] 2014-15
PICAYUNE SCHOOL DIST,Mississippi,PEARL RIVER COUNTY,11,0,11,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,3738,245.7,15.21
PICKAWAY COUNTY ESC,Ohio,PICKAWAY COUNTY,0,0,†,4-Regional Education Service Agency (RESA),41-Rural: Fringe,†,Prekindergarten,Prekindergarten,0,–,–
PICKAWAY-ROSS COUNTY JVSD,Ohio,ROSS COUNTY,1,0,1,4-Regional Education Service Agency (RESA),42-Rural: Distant,3-All associated schools are noncharter,6th Grade,12th Grade,0,–,–
PICKENS 01,South Carolina,PICKENS COUNTY,26,0,26,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,16619,1011.9,16.42
PICKENS COUNTY,Alabama,PICKENS COUNTY,8,†,10,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,2636,156,16.9
PICKENS COUNTY,Georgia,PICKENS COUNTY,7,0,7,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,4346,279.8,15.53
PICKERINGTON COMMUNITY SCHOOL,Ohio,FAIRFIELD COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,92,–,–
PICKERINGTON LOCAL,Ohio,FAIRFIELD COUNTY,14,0,14,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,10199,–,–
PICKETT COUNTY,Tennessee,PICKETT COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,771,55,14.02
PICKFORD PUBLIC SCHOOLS,Michigan,CHIPPEWA COUNTY,2,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,503,34.11,14.75
PIEDMONT,Oklahoma,CANADIAN COUNTY,7,0,7,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,3417,189.75,18.01
PIEDMONT ALTERNATIVE SCHOOL,Virginia,AMELIA COUNTY,1,0,1,4-Regional Education Service Agency (RESA),42-Rural: Distant,3-All associated schools are noncharter,†,†,–,–,–
PIEDMONT CITY,Alabama,CALHOUN COUNTY,3,†,3,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,1223,69.5,17.6
PIEDMONT CITY UNIFIED,California,ALAMEDA COUNTY,7,0,7,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,2706,140.33,19.28
PIEDMONT CLASSICAL HIGH SCHOOL,NORTH CAROLINA,†,0,0,1,7-Independent Charter District,†,1-All associated schools are charter schools,†,†,†,†,†
PIEDMONT COMMUNITY CHARTER,North Carolina,GASTON COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,12th Grade,1225,73.63,16.64
PIEDMONT GOV SCH FOR MATH/SCI/TECH,Virginia,HENRY COUNTY,1,0,1,4-Regional Education Service Agency (RESA),32-Town: Distant,3-All associated schools are noncharter,†,†,–,–,–
PIEDMONT REGIONAL ED.,Virginia,ALBEMARLE COUNTY,1,0,1,4-Regional Education Service Agency (RESA),41-Rural: Fringe,3-All associated schools are noncharter,†,†,–,–,–
PIERCE CITY R-VI,Missouri,LAWRENCE COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,686,52.12,13.16
PIERCE COUNTY,Georgia,PIERCE COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,3740,241.1,15.51
PIERCE JOINT UNIFIED,California,COLUSA COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,1443,66.2,21.8
PIERCE PUBLIC SCHOOLS,Nebraska,PIERCE COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,663,–,–
PIERMONT SCHOOL DISTRICT,New Hampshire,GRAFTON COUNTY,1,0,1,2-Local school district that is a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,11th Grade,84,7.8,10.77
PIERRE SCHOOL DISTRICT 32-2,South Dakota,HUGHES COUNTY,6,0,7,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,2641,158.33,16.68
PIERZ PUBLIC SCHOOL DISTRICT,Minnesota,MORRISON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1163,73.17,15.89
PIGGOTT SCHOOL DISTRICT,Arkansas,CLAY COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,951,70.87,13.42
PIKE CO. R-III,Missouri,PIKE COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,459,45.41,10.11
PIKE COUNTY,Georgia,PIKE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,3439,204.9,16.78
PIKE COUNTY,Kentucky,PIKE COUNTY,21,†,22,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,9361,550,17.02
PIKE COUNTY,Alabama,PIKE COUNTY,7,†,7,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,2207,136,16.23
PIKE COUNTY AREA,Ohio,PIKE COUNTY,1,0,1,4-Regional Education Service Agency (RESA),42-Rural: Distant,3-All associated schools are noncharter,9th Grade,12th Grade,0,–,–
PIKE COUNTY SCHOOL CORP,Indiana,PIKE COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1959,125.03,15.67
PIKE ROAD,ALABAMA,MONTGOMERY COUNTY,0,†,1,5-State agency providing elementary and/or secondary level instruction,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,8th Grade,–,–,–
PIKE VALLEY,Kansas,REPUBLIC COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,233,26.8,8.69
PIKE-DELTA-YORK LOCAL,Ohio,FULTON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,1239,–,–
PIKELAND CUSD 10,Illinois,PIKE COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1318,91,14.48
PIKES PEAK BOCES,Colorado,EL PASO COUNTY,0,0,†,4-Regional Education Service Agency (RESA),11-City: Large,†,Prekindergarten,12th Grade,–,–,–
PIKES PEAK BOCES,Colorado,EL PASO COUNTY,0,0,†,4-Regional Education Service Agency (RESA),11-City: Large,†,†,†,–,23.37,–
PIKEVILLE INDEPENDENT,Kentucky,PIKE COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1254,77,16.29
PILLAGER AREA CHARTER SCHOOL,Minnesota,CASS COUNTY,1,1,1,7-Independent Charter District,42-Rural: Distant,1-All associated schools are charter schools,9th Grade,12th Grade,45,3.52,12.78
PILLAGER PUBLIC SCHOOL DISTRICT,Minnesota,CASS COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,980,67.58,14.5
PILLAR CHARTER SCHOOL,Arizona,MARICOPA COUNTY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,96,–,–
PILOT GROVE C-4,Missouri,COOPER COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,293,24.74,11.84
PILOT POINT ISD,Texas,DENTON COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1391,106,13.12
PILOT ROCK SD 2,Oregon,UMATILLA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,372,19,19.58
PIMA ACCOMMODATION DISTRICT,Arizona,PIMA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,81,6,13.5
PIMA COUNTY,Arizona,PIMA COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,106,–,–
PIMA COUNTY JTED,Arizona,PIMA COUNTY,47,0,47,4-Regional Education Service Agency (RESA),11-City: Large,3-All associated schools are noncharter,9th Grade,12th Grade,216,0,†
PIMA PREVENTION PARTNERSHIP,Arizona,PIMA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,194,–,–
PIMA PREVENTION PARTNERSHIP DBA PIMA PARTNERSHIP ACADEMY,Arizona,PIMA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,6th Grade,8th Grade,102,–,–
PIMA PREVENTION PARTNERSHIP DBA PIMA PARTNERSHIP SCHOOL  THE,Arizona,PIMA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,227,–,–
PIMA ROSE ACADEMY  INC.,Arizona,PIMA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,348,–,–
PIMA SPECIAL PROGRAMS,Arizona,PIMA COUNTY,0,0,†,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,†,†,†,–,0,–
PIMA UNIFIED DISTRICT,Arizona,GRAHAM COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,836,44,19
PINAL COUNTY JUVENILE DETENTION,Arizona,PINAL COUNTY,1,0,1,5-State agency providing elementary and/or secondary level instruction,41-Rural: Fringe,3-All associated schools are noncharter,†,†,–,–,–
PINAL COUNTY SPECIAL EDUCATION PROGRAM,Arizona,PINAL COUNTY,0,0,†,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,†,Prekindergarten,12th Grade,–,2,–
PINCKNEY COMMUNITY SCHOOLS,Michigan,LIVINGSTON COUNTY,5,0,6,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,3472,174.52,19.89
PINCKNEYVILLE CHSD 101,Illinois,PERRY COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,9th Grade,12th Grade,453,28.1,16.12
PINCKNEYVILLE SD 50,Illinois,PERRY COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,545,33.5,16.27
PINCONNING AREA SCHOOLS,Michigan,BAY COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1292,66.34,19.48
PINE BLUFF LIGHTHOUSE ACADEMY,Arkansas,JEFFERSON COUNTY,2,2,2,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,7th Grade,293,22.98,12.75
PINE BLUFF SCHOOL DISTRICT,Arkansas,JEFFERSON COUNTY,10,0,10,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,4412,327.29,13.48
PINE BUSH CENTRAL SCHOOL DISTRICT,New York,ORANGE COUNTY,7,0,7,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,5487,369.65,14.84
PINE CITY PUBLIC SCHOOL DISTRICT,Minnesota,PINE COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1659,120.81,13.73
PINE CREEK ELEM,Montana,PARK COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,28,–,–
PINE CREEK SD 5,Oregon,HARNEY COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Kindergarten,8th Grade,5,1,5
PINE EAGLE SD 61,Oregon,BAKER COUNTY,1,1,1,7-Independent Charter District,43-Rural: Remote,1-All associated schools are charter schools,Kindergarten,12th Grade,184,14.43,12.75
PINE FOREST EDUCATION ASSOCIATION  INC.,Arizona,COCONINO COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,8th Grade,259,–,–
PINE GROVE AREA SD,Pennsylvania,SCHUYLKILL COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,1622,125,12.98
PINE GROVE ELEM,Montana,GARFIELD COUNTY,1,†,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,9,–,–
PINE HILL SCHOOL DISTRICT,New Jersey,CAMDEN COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,1670,178.35,9.36
