Agency Name,State Name [District] Latest available year,County Name [District] 2014-15,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2014-15,Agency Type [District] 2014-15,Urban-centric Locale [District] 2014-15,Agency Charter Status [District] 2014-15,Lowest Grade Offered [District] 2014-15,Highest Grade Offered [District] 2014-15,"Total Students, All Grades (Excludes AE) [District] 2014-15",Full-Time Equivalent (FTE) Teachers [District] 2014-15,Pupil/Teacher Ratio [District] 2014-15
ESCONDIDO UNION,California,SAN DIEGO COUNTY,26,3,27,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,2-All associated schools are charter and noncharter,Kindergarten,8th Grade,19204,849.13,22.62
ESCONDIDO UNION HIGH,California,SAN DIEGO COUNTY,8,2,8,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,2-All associated schools are charter and noncharter,9th Grade,12th Grade,9442,407.33,23.18
ESCUELA AVANCEMOS,Michigan,WAYNE COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,5th Grade,247,9,27.44
ESCUELA VERDE AGENCY,Wisconsin,MILWAUKEE COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,7th Grade,12th Grade,80,–,–
ESD 159,Illinois,COOK COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,8th Grade,1947,148,13.16
ESKO PUBLIC SCHOOL DISTRICT,Minnesota,CARLTON COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1193,71.77,16.62
ESL REGIONAL VOCATIONAL SYSTEM,Illinois,ST. CLAIR COUNTY,0,0,†,4-Regional Education Service Agency (RESA),21-Suburb: Large,†,9th Grade,12th Grade,–,–,–
ESMERALDA COUNTY SCHOOL DISTRICT,Nevada,ESMERALDA COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,74,–,–
ESPANOLA PUBLIC SCHOOLS,New Mexico,RIO ARRIBA COUNTY,15,1,15,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,4017,250.34,16.05
ESPARTO UNIFIED,California,YOLO COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,976,41.93,23.28
ESPERANZA ACADEMY CHARTER SCHOOL,Pennsylvania,PHILADELPHIA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,6th Grade,12th Grade,1383,87,15.9
ESPERANZA COMMUNITY COLLEGIAL ACADEMY,Arizona,MARICOPA COUNTY,0,0,1,7-Independent Charter District,11-City: Large,†,9th Grade,12th Grade,†,†,†
ESPERANZA CYBER CS,Pennsylvania,PHILADELPHIA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,6th Grade,12th Grade,110,5.3,20.75
ESPERANZA SCHOOL,Utah,SALT LAKE COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,6th Grade,387,–,–
ESPIRITU COMMUNITY DEVELOPMENT CORP. 1,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,303,–,–
ESPIRITU COMMUNITY DEVELOPMENT CORP. 2,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,6th Grade,477,–,–
ESSEX AGRICULTURAL TECHNICAL,Massachusetts,ESSEX COUNTY,0,0,1,4-Regional Education Service Agency (RESA),21-Suburb: Large,†,9th Grade,12th Grade,†,†,†
ESSEX CALEDONIA SUPERVISORY UNION,Vermont,ESSEX COUNTY,0,†,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),42-Rural: Distant,†,†,†,–,6,–
ESSEX CO PBLC SCHS,Virginia,ESSEX COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1526,123.33,12.37
ESSEX COMM SCHOOL DISTRICT,Iowa,PAGE COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,229,22.74,10.07
ESSEX COMMUNITY EDUCATION CENTER,Vermont,CHITTENDEN COUNTY,2,†,2,2-Local school district that is a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,9th Grade,12th Grade,1053,145.7,7.23
ESSEX COUNTY VOCATIONAL TECHNICAL SCHOOLS,New Jersey,ESSEX COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,3-All associated schools are noncharter,9th Grade,12th Grade,–,189.32,–
ESSEX FELLS SCHOOL DISTRICT,New Jersey,ESSEX COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,348,29.1,11.96
ESSEX JUNCTION INCORPORATED SCHOOL DISTRICT,Vermont,CHITTENDEN COUNTY,4,†,4,2-Local school district that is a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,Prekindergarten,8th Grade,1124,87.6,12.83
ESSEX NORTH SHORE AGRICULTURAL AND TECHNICAL SCHOOL DISTRICT,MASSACHUSETTS,ESSEX COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,1128,108.3,10.42
ESSEX NORTH SUPERVISORY UNION,Vermont,ESSEX COUNTY,0,†,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),43-Rural: Remote,†,†,†,–,3,–
ESSEX REGIONAL EDUCATIONAL SERVICES COMMISSION,New Jersey,ESSEX COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,–,57,–
ESSEX SCHOOL DISTRICT,Connecticut,MIDDLESEX COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,6th Grade,451,42.6,10.59
ESSEX TOWN SCHOOL DISTRICT,Vermont,CHITTENDEN COUNTY,3,†,3,2-Local school district that is a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,Prekindergarten,8th Grade,1279,97.15,13.17
ESSEX TOWN SUPERVISORY DISTRICT,Vermont,CHITTENDEN COUNTY,0,†,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),41-Rural: Fringe,†,†,†,–,4.2,–
ESSEXVILLE-HAMPTON PUBLIC SCHOOLS,Michigan,BAY COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,23-Suburb: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,1737,86.38,20.11
ESTACADA SD 108,Oregon,CLACKAMAS COUNTY,6,2,7,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,2-All associated schools are charter and noncharter,Kindergarten,12th Grade,2757,88.77,31.06
ESTANCIA MUNICIPAL SCHOOLS,New Mexico,TORRANCE COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Kindergarten,12th Grade,742,49.91,14.87
ESTANCIA VALLEY CLASSICAL ACADEMY,New Mexico,TORRANCE COUNTY,1,1,1,7-Independent Charter District,42-Rural: Distant,1-All associated schools are charter schools,Kindergarten,11th Grade,405,24.5,16.53
ESTELL MANOR CITY SCHOOL DISTRICT,New Jersey,ATLANTIC COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,253,14,18.07
ESTELLINE SCHOOL DISTRICT 28-2,South Dakota,HAMLIN COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,277,20.98,13.2
ESTEM HIGH CHARTER,Arkansas,PULASKI COUNTY,3,3,3,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,12th Grade,1462,91.52,15.97
ESTES PARK SCHOOL DISTRICT R-3,Colorado,LARIMER COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1127,81.85,13.77
ESTHERVILLE LINCOLN CENTRAL COM SCH DIST,Iowa,EMMET COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1465,102.17,14.34
ESTILL COUNTY,Kentucky,ESTILL COUNTY,6,†,6,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,2537,145.91,17.39
ESWOOD CCSD 269,Illinois,OGLE COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,8th Grade,85,9.4,9.04
ETHAN SCHOOL DISTRICT 17-1,South Dakota,DAVISON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,251,19.07,13.16
ETHICAL COMMUNITY CHARTER SCHOOL (THE),New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,5th Grade,252,26.48,9.52
ETIWANDA ELEMENTARY,California,SAN BERNARDINO COUNTY,17,0,17,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,8th Grade,13652,553.8,24.65
ETOILE ISD,Texas,NACOGDOCHES COUNTY,1,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,130,14.22,9.14
ETOWAH,Tennessee,MCMINN COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,338,23.1,14.63
ETOWAH ACADEMY,Alabama,ETOWAH COUNTY,0,†,1,5-State agency providing elementary and/or secondary level instruction,13-City: Small,3-All associated schools are noncharter,†,†,–,–,–
ETOWAH COUNTY,Alabama,ETOWAH COUNTY,24,†,24,1-Regular local school district that is NOT a component of a supervisory union,23-Suburb: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,8932,519.5,17.19
EUCLID CITY,Ohio,CUYAHOGA COUNTY,8,0,8,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,5436,–,–
EUDORA,Kansas,DOUGLAS COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1673,133.3,12.55
EUFAULA,Oklahoma,MCINTOSH COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1253,80.6,15.55
EUFAULA CITY,Alabama,BARBOUR COUNTY,5,†,6,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,2829,161,17.57
EUGENE SD 4J,Oregon,LANE COUNTY,36,4,36,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,2-All associated schools are charter and noncharter,Kindergarten,12th Grade,17017,728.28,23.37
EUGENIO MARIA DE HOSTOS CHARTER SCHOOL,New York,MONROE COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,8th Grade,409,25.25,16.2
EUGENIO MARIA DE HOSTOS CS,Pennsylvania,PHILADELPHIA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,468,37,12.65
EULA ISD,Texas,CALLAHAN COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,405,–,–
EUNICE MUNICIPAL SCHOOLS,New Mexico,LEA COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,755,48,15.73
EUREKA,Kansas,GREENWOOD COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,689,62,11.11
EUREKA CITY SCHOOLS,California,HUMBOLDT COUNTY,8,0,8,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Kindergarten,12th Grade,3722,173.33,21.47
EUREKA COUNTY SCHOOL DISTRICT,Nevada,EUREKA COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,247,–,–
EUREKA CUD 140,Illinois,WOODFORD COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1644,101.66,16.17
EUREKA ELEM,Montana,LINCOLN COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,413,–,–
EUREKA SCHOOL DISTRICT 44-1,South Dakota,MCPHERSON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,144,20.32,7.09
EUREKA SPRINGS SCHOOL DISTRICT,Arkansas,CARROLL COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,644,56.62,11.37
EUREKA UNION,California,PLACER COUNTY,7,0,7,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,8th Grade,3338,138.18,24.16
EUSTACE ISD,Texas,HENDERSON COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1513,116.36,13
EUSTIS PUBLIC SCHOOLS,Maine,FRANKLIN COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,58,8.04,7.21
EUSTIS-FARNAM PUBLIC SCHOOLS,Nebraska,FRONTIER COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,205,–,–
EVADALE ISD,Texas,JASPER COUNTY,3,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,482,42,11.48
EVALINE SCHOOL DISTRICT,Washington,LEWIS COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,6th Grade,36,2.25,16
EVANGELINE PARISH,Louisiana,EVANGELINE PARISH,12,0,12,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,6120,387.86,15.78
EVANS COUNTY,Georgia,EVANS COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1904,128.8,14.78
EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),New York,ERIE COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,2499,208.64,11.98
EVANSTON CCSD 65,Illinois,COOK COUNTY,17,0,17,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,8th Grade,7655,615.84,12.43
EVANSTON DISTS 65/202 JNT AGR,Illinois,COOK COUNTY,1,0,1,4-Regional Education Service Agency (RESA),13-City: Small,3-All associated schools are noncharter,†,†,–,15.5,–
EVANSTON TWP HSD 202,Illinois,COOK COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,9th Grade,12th Grade,3230,215.2,15.01
EVANSVILLE COMMUNITY SCHOOL DISTRICT,Wisconsin,ROCK COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1736,–,–
EVANSVILLE VANDERBURGH SCH CORP,Indiana,VANDERBURGH COUNTY,37,0,37,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,22518,1673.72,13.45
EVANT ISD,Texas,CORYELL COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,259,22,11.77
EVART PUBLIC SCHOOLS,Michigan,OSCEOLA COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,899,47.41,18.96
EVELETH-GILBERT SCHOOL DISTRICT,Minnesota,ST. LOUIS COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1074,69.94,15.36
EVEREST HIGH SCHOOL,Ohio,FRANKLIN COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,116,–,–
EVERETT,Massachusetts,MIDDLESEX COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,7071,511.97,13.81
EVERETT AREA SD,Pennsylvania,BEDFORD COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,1331,81.86,16.26
EVERETT COMMUNITY COLLEGE,Washington,SNOHOMISH COUNTY,1,0,1,8-Other education agencies,12-City: Mid-size,3-All associated schools are noncharter,†,†,†,0,–
EVERETT SCHOOL DISTRICT,Washington,SNOHOMISH COUNTY,33,0,33,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,19615,1013.34,19.36
EVERGREEN ACADEMY,Michigan,KALAMAZOO COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,5th Grade,53,6,8.83
EVERGREEN CHARTER SCHOOL,New York,NASSAU COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,5th Grade,298,25,11.92
EVERGREEN COMMUNITY CHARTER,North Carolina,BUNCOMBE COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,8th Grade,444,28.73,15.45
EVERGREEN COMMUNITY CS,Pennsylvania,MONROE COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,6th Grade,12th Grade,97,11.71,8.28
EVERGREEN ELEM,Montana,FLATHEAD COUNTY,3,†,3,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,764,–,–
EVERGREEN ELEMENTARY,California,SANTA CLARA COUNTY,18,0,18,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,3-All associated schools are noncharter,Kindergarten,8th Grade,12857,503.74,25.52
EVERGREEN LOCAL,Ohio,FULTON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1186,–,–
EVERGREEN PARK CHSD 231,Illinois,COOK COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,856,55.99,15.29
EVERGREEN PARK ESD 124,Illinois,COOK COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,8th Grade,1758,138.4,12.7
EVERGREEN SCHOOL,Alabama,TUSCALOOSA COUNTY,0,†,†,5-State agency providing elementary and/or secondary level instruction,13-City: Small,3-All associated schools are noncharter,6th Grade,12th Grade,–,–,–
EVERGREEN SCHOOL DISTRICT (CLARK),Washington,CLARK COUNTY,38,0,38,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,26526,1542.48,17.2
EVERGREEN SCHOOL DISTRICT (STEVENS),Washington,STEVENS COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Kindergarten,6th Grade,18,2.35,7.66
EVERGREEN UNION,California,TEHAMA COUNTY,5,0,6,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,2-All associated schools are charter and noncharter,Kindergarten,8th Grade,1063,52.33,20.31
EVERMAN ISD,Texas,TARRANT COUNTY,10,0,11,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,5543,342.83,16.17
EVERTON R-III,Missouri,DADE COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,163,19.21,8.49
EVESHAM TOWNSHIP SCHOOL DISTRICT,New Jersey,BURLINGTON COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,6825,354.6,19.25
EVOLUTION ACADEMY CHARTER SCHOOL,Texas,DALLAS COUNTY,3,3,4,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,794,35.05,22.65
EWEN-TROUT CREEK CONSOLIDATED SCHOOL DISTRICT,Michigan,ONTONAGON COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,205,17,12.06
EWING MARION KAUFFMAN SCHOOL,Missouri,JACKSON COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,5th Grade,8th Grade,532,45.25,11.76
EWING NORTHERN CCSD 115,Illinois,FRANKLIN COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,217,16.5,13.15
EWING PUBLIC SCHOOLS,Nebraska,HOLT COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,129,–,–
EWING TOWNSHIP SCHOOL DISTRICT,New Jersey,MERCER COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,3713,325.3,11.41
EXALT ACADEMY OF SOUTHWEST LITTLE ROCK,ARKANSAS,PULASKI COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,2nd Grade,112,11.01,10.17
EXC CHILDREN HAVE OPPORTUNITIES,Illinois,COOK COUNTY,5,0,5,4-Regional Education Service Agency (RESA),21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,–,139,–
EXCALIBUR CHARTER SCHOOLS  INC.,Arizona,PINAL COUNTY,2,2,2,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,311,–,–
EXCEL ACADEMY,Texas,HARRIS COUNTY,4,4,5,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,5th Grade,12th Grade,476,35.54,13.39
EXCEL ACADEMY CHARTER (DISTRICT),Massachusetts,SUFFOLK COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,5th Grade,8th Grade,604,56.6,10.67
EXCEL ACADEMY CHARTER SCHOOL - BOSTON II (DISTRICT),Massachusetts,SUFFOLK COUNTY,0,0,1,7-Independent Charter District,11-City: Large,†,5th Grade,6th Grade,†,†,†
EXCEL ACADEMY CHARTER SCHOOL - CHELSEA (DISTRICT),Massachusetts,SUFFOLK COUNTY,0,0,1,7-Independent Charter District,21-Suburb: Large,†,5th Grade,7th Grade,†,†,†
EXCEL ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,6th Grade,724,62,11.68
EXCEL CENTER - ANDERSON,Indiana,MADISON COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,339,12.12,27.97
EXCEL CENTER - KOKOMO,Indiana,HOWARD COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,350,11.32,30.92
EXCEL CENTER - LAFAYETTE,Indiana,TIPPECANOE COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,287,11.12,25.81
EXCEL CENTER - LAFAYETTE SQUARE,Indiana,MARION COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,390,13.12,29.73
EXCEL CENTER - RICHMOND,Indiana,WAYNE COUNTY,1,1,1,7-Independent Charter District,32-Town: Distant,1-All associated schools are charter schools,9th Grade,12th Grade,296,11.12,26.62
EXCEL CENTER FOR ADULT LEARNERS,Indiana,MARION COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,1348,50.12,26.9
EXCEL CHARTER ACADEMY,Michigan,KENT COUNTY,2,2,2,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,12th Grade,1375,66.81,20.58
EXCEL INSTITUTE,Alabama,ETOWAH COUNTY,1,†,1,5-State agency providing elementary and/or secondary level instruction,13-City: Small,3-All associated schools are noncharter,†,†,–,–,–
EXCELL ACADEMY CHARTER,Minnesota,HENNEPIN COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Prekindergarten,8th Grade,358,28.5,12.56
EXCELLENCE BOYS CHARTER SCHOOL OF BEDFORD STUYVESANT,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,11th Grade,727,54.43,13.36
EXCELLENCE GIRLS CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,6th Grade,590,50,11.8
EXCELLENCE IN LEADERSHIP ACADEMY,Texas,HIDALGO COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Prekindergarten,5th Grade,185,10.52,17.59
EXCELSIOR ACADEMY,Utah,TOOELE COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Kindergarten,9th Grade,680,–,–
EXCELSIOR CLASSICAL ACADEMY,NORTH CAROLINA,†,0,0,1,7-Independent Charter District,†,1-All associated schools are charter schools,†,†,†,†,†
EXCELSIOR ISD,Texas,SHELBY COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,92,9.3,9.89
